LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
0.420184,0.052695,0.052399,0.066891,0.085664,0.062272,0.045067,0.048394,0.028668,0.137766
0.517979,0.049846,0.042892,0.053659,0.071539,0.049135,0.03736,0.042931,0.025209,0.109452
0.505414,0.04625,0.046994,0.062699,0.078144,0.052702,0.038899,0.037844,0.024163,0.106891
0.523845,0.041358,0.045538,0.066808,0.091041,0.05709,0.037513,0.030635,0.017496,0.088677
0.518218,0.039286,0.048052,0.079834,0.105051,0.060642,0.031818,0.028355,0.013835,0.07491
0.340189,0.050097,0.071391,0.134548,0.164953,0.081005,0.036087,0.028877,0.012762,0.080092
0.47596,0.039007,0.058805,0.103451,0.128316,0.068872,0.032121,0.023148,0.010438,0.059882
0.293129,0.047515,0.062865,0.13845,0.204971,0.087573,0.036842,0.035526,0.013889,0.07924
0.428552,0.03888,0.059517,0.120512,0.152946,0.070575,0.031292,0.02404,0.011035,0.062651
0.398016,0.037338,0.061688,0.128824,0.172511,0.077507,0.0307,0.022691,0.009776,0.060949
0.505414,0.04625,0.046994,0.062699,0.078144,0.052702,0.038899,0.037844,0.024163,0.106891
0.517979,0.049846,0.042892,0.053659,0.071539,0.049135,0.03736,0.042931,0.025209,0.109452
0.521888,0.040873,0.040831,0.065163,0.097076,0.053509,0.033814,0.036926,0.018254,0.091667
0.599183,0.026389,0.033435,0.066973,0.11924,0.052717,0.02355,0.020404,0.010355,0.047753
0.557441,0.040859,0.039848,0.051431,0.069158,0.045269,0.034865,0.037626,0.023333,0.100168
0.420184,0.052695,0.052399,0.066891,0.085664,0.062272,0.045067,0.048394,0.028668,0.137766
0.553987,0.038208,0.044027,0.072981,0.092274,0.054865,0.032217,0.026821,0.013881,0.070738
0.530419,0.038493,0.04783,0.074993,0.095096,0.05946,0.032961,0.027645,0.014686,0.078416
0.507136,0.038777,0.049795,0.077607,0.100616,0.063301,0.036776,0.029083,0.015299,0.08161
