Color_0_0,Color_0_1,Color_0_2,Color_1_0,Color_1_1,Color_1_2,Color_2_0,Color_2_1,Color_2_2,Color_3_0,Color_3_1,Color_3_2,color_4_0,Color_4_1,Color_4_2,Color_5_0,Color_5_1,Color_5_2,Color_6_0,Color_6_1,Color_6_2,Color_7_0,Color_7_1,Color_7_2,Color_8_0,Color_8_1,Color_8_2,Color_9_0,Color_9_1,Color_9_2,Color_10_0,Color_10_1,Color_10_2,Color_11_0,Color_11_1,Color_11_2,Color_12_0,Color_12_1,Color_12_2,Color_13_0,Color_13_1,Color_13_2,Color_14_0,Color_14_1,Color_14_2,Color_15_0,Color_15_1,Color_15_2
0.439904,0.353825,0.327893,0.269326,0.23066,0.188168,0.045998,0.039277,0.032176,0.002568,0.002265,0.002193,0.561365,0.512934,0.454676,0.4613,0.420204,0.371519,0.196856,0.183919,0.167263,0.04248,0.041959,0.040472,0.704769,0.669107,0.633994,0.614247,0.575308,0.538213,0.441945,0.422779,0.400751,0.228525,0.229527,0.215801,0.798487,0.777939,0.761996,0.678636,0.654326,0.635766,0.514857,0.503274,0.485034,0.277494,0.346861,0.28554
0.565671,0.532478,0.453239,0.381868,0.372555,0.311228,0.052073,0.051096,0.041394,0.000846,0.000799,0.000659,0.665369,0.663213,0.585819,0.557785,0.554513,0.485019,0.215726,0.211312,0.181101,0.025122,0.02362,0.019806,0.720062,0.721159,0.649984,0.634088,0.62994,0.559982,0.466511,0.456383,0.391262,0.213366,0.209299,0.179703,0.699624,0.704573,0.633753,0.640154,0.640667,0.5694,0.506817,0.511302,0.440265,0.264138,0.339603,0.302633
0.402442,0.272985,0.321887,0.191414,0.171531,0.155587,0.017971,0.016851,0.014273,0.000324,0.000312,0.000264,0.582028,0.563281,0.52605,0.454468,0.439712,0.402385,0.144611,0.139443,0.126089,0.017474,0.016845,0.015066,0.731311,0.722798,0.685719,0.648544,0.637676,0.601918,0.434676,0.4234,0.39045,0.179244,0.175182,0.15255,0.783794,0.782595,0.757133,0.71703,0.711388,0.685226,0.530973,0.525768,0.484916,0.234015,0.299792,0.21623
0.386921,0.256247,0.310865,0.174049,0.164133,0.14925,0.016061,0.016346,0.014015,0.000342,0.00035,0.000292,0.498757,0.505051,0.466357,0.384196,0.392426,0.349673,0.146062,0.148984,0.127325,0.025327,0.025959,0.02146,0.643822,0.666248,0.629372,0.543552,0.556107,0.508058,0.37929,0.38517,0.329542,0.212099,0.21871,0.17895,0.71546,0.742364,0.707868,0.62466,0.64123,0.595396,0.43737,0.447427,0.386153,0.271007,0.315762,0.239302
0.423524,0.302034,0.338617,0.200405,0.181341,0.161314,0.01442,0.014015,0.011697,0.00015,0.000145,0.000119,0.52622,0.523206,0.472239,0.411532,0.409153,0.359059,0.132674,0.130807,0.111089,0.012899,0.012631,0.010287,0.640064,0.650532,0.610202,0.5618,0.567055,0.520174,0.41388,0.411258,0.358644,0.199231,0.201507,0.165914,0.714162,0.730228,0.6953,0.625843,0.635324,0.593603,0.485896,0.488644,0.431445,0.287035,0.346546,0.260569
0.504882,0.445825,0.467746,0.348948,0.344455,0.338865,0.066831,0.067776,0.065873,0.002352,0.002329,0.002184,0.598034,0.604599,0.580666,0.494471,0.506527,0.491275,0.234627,0.242067,0.233456,0.051541,0.053384,0.050575,0.692294,0.698892,0.673484,0.623025,0.632278,0.60799,0.489442,0.498998,0.474392,0.326714,0.342308,0.318989,0.731779,0.736031,0.709146,0.675435,0.680126,0.648311,0.560677,0.567456,0.532109,0.407538,0.468309,0.409849
0.447891,0.308967,0.386011,0.225583,0.208618,0.211401,0.022269,0.022622,0.02225,0.000257,0.000265,0.000261,0.545677,0.53952,0.530999,0.421368,0.425653,0.416439,0.151358,0.154735,0.151168,0.016083,0.016729,0.016312,0.676931,0.670594,0.656256,0.584519,0.583577,0.570585,0.405751,0.412697,0.403088,0.200141,0.209752,0.201339,0.725247,0.719915,0.708428,0.658366,0.6532,0.643003,0.503276,0.510651,0.497396,0.276748,0.340375,0.295998
0.401289,0.39351,0.363688,0.457241,0.470622,0.442293,0.55775,0.566525,0.545451,0.614445,0.62094,0.604704,0.334337,0.346462,0.317111,0.421175,0.433948,0.403374,0.522923,0.531498,0.50507,0.576745,0.583497,0.563203,0.09249,0.096587,0.088357,0.24262,0.25082,0.233794,0.432685,0.443731,0.418225,0.499376,0.511015,0.487502,0.003517,0.003781,0.003363,0.059299,0.062739,0.058478,0.286465,0.304224,0.285426,0.375599,0.422341,0.40129
0.498876,0.401508,0.448175,0.270852,0.260609,0.257144,0.022986,0.02381,0.0229,0.000339,0.000353,0.000337,0.594614,0.606236,0.581409,0.491344,0.509076,0.48953,0.178759,0.187865,0.181522,0.021269,0.022609,0.021735,0.69633,0.705464,0.677383,0.627353,0.641354,0.615494,0.461493,0.479756,0.46204,0.222747,0.242257,0.226482,0.743724,0.748738,0.7209,0.687127,0.695926,0.667467,0.541092,0.560379,0.534871,0.299868,0.395981,0.332059
0.366571,0.322655,0.298482,0.251492,0.255605,0.241897,0.037557,0.03898,0.036986,0.000705,0.000732,0.000704,0.501358,0.504388,0.468806,0.434569,0.441736,0.413086,0.189351,0.193475,0.18167,0.024676,0.025511,0.024293,0.664564,0.666087,0.631579,0.599097,0.60238,0.569467,0.475176,0.48139,0.454254,0.281806,0.291823,0.279437,0.741177,0.743657,0.709185,0.685991,0.688561,0.654453,0.58521,0.590454,0.556185,0.454672,0.500931,0.478061
