fd_0,fd_1,fd_2,fd_3,fd_4,fd_5,fd_6,fd_7,fd_8,fd_9,fd_10,fd_11,fd_12,fd_13,fd_14,fd_15,fd_16,fd_17,fd_18,fd_19,fd_20,fd_21,fd_22,fd_23,fd_24,fd_25,fd_26,fd_27,fd_28,fd_29,fd_30,fd_31,fd_32,fd_33,fd_34,fd_35,fd_36,fd_37,fd_38,fd_39,fd_40,fd_41,fd_42,fd_43,fd_44,fd_45,fd_46,fd_47,fd_48,fd_49,fd_50,fd_51,fd_52,fd_53,fd_54,fd_55,fd_56,fd_57,fd_58,fd_59,fd_60,fd_61,fd_62,fd_63
1,0.28612,0,0.0144199,0.0193667,0.012113,0.00547309,0.0138659,0.00878266,0.0109516,0.00943261,0.00810557,0.00987921,0.00679044,0.00572468,0.0152363,0.0096432,0.00960446,0.0119242,0.00984304,0.0128977,0.0127408,0.00849081,0.00970805,0.0107978,0.0122831,0.00975924,0.0077099,0.0121103,0.0132742,0.00845924,0.0107195,0.0112578,0.0105693,0.00923836,0.0114161,0.0135024,0.0104688,0.0107289,0.0125243,0.0086532,0.0107346,0.0126219,0.0110415,0.0105779,0.00991523,0.0102326,0.0115091,0.0114258,0.0118124,0.0118768,0.00878469,0.0127348,0.0103512,0.00823646,0.0114954,0.0106461,0.00948296,0.0130171,0.0132983,0.0096947,0.010517,0.0122769,0.00986442
1,0.305878,0.00970878,0.00647928,0.00765612,0.00859219,0.00255709,0.0069409,0,0.00739062,0.00483937,0.00788622,0.00308495,0.00580445,0.00399051,0.00760947,0.0045663,0.00740099,0.00590281,0.00508168,0.00670287,0.00457832,0.00559704,0.00507114,0.007061,0.0046857,0.00830964,0.00497369,0.00613001,0.00598665,0.00629607,0.0043919,0.00812055,0.00731032,0.00580901,0.00554799,0.00672621,0.00465058,0.00623169,0.00625009,0.00715253,0.00488484,0.00686732,0.00594416,0.00520189,0.00572181,0.00680516,0.0061975,0.00434156,0.00643108,0.00658117,0.00529525,0.00710978,0.00651273,0.007322,0.00429503,0.00826898,0.00536435,0.00737512,0.00552901,0.00742515,0.00398801,0.00668384,0.00517566
1,0.304041,0.0284895,0.0165531,0.00842158,0.00211186,0.00981756,0.00680873,0.00636228,0.0070037,0.00512157,0.0113347,0.00740783,0.00715969,0.0122668,0.00735816,0.0110951,0.00351977,0.0171424,0,0.0153377,0.000956136,0.0113307,0.00628822,0.00989026,0.00363657,0.0104302,0.00428389,0.0162556,0.001869,0.00697423,0.00716421,0.0050533,0.011916,0.00618088,0.00649698,0.00857004,0.00895126,0.00591635,0.00908143,0.00446454,0.00872608,0.00368886,0.00818953,0.0129092,0.00463417,0.00844681,0.00551765,0.00354929,0.0124249,0.00328011,0.00997853,0.00528149,0.0153417,0.00618522,0.00728873,0.00603069,0.00392255,0.0102792,0.00518941,0.0104542,0.00771107,0.0106595,0.015545
1,0.286289,0.0195421,0.0161406,0.0102889,0,0.00393365,0.00142826,0.00175578,0.00735322,0.0094275,0.00806446,0.00646412,0.00237057,0.006814,0.00475174,0.00672385,0.0075986,0.00546733,0.00579342,0.00838408,0.00561728,0.00657078,0.00578606,0.00920608,0.007848,0.00433578,0.00542186,0.00705444,0.00861348,0.00521173,0.00622458,0.00752968,0.00866045,0.00676054,0.00329554,0.00642652,0.0096863,0.00645991,0.0065138,0.00475146,0.012471,0.00634545,0.0055094,0.00152301,0.00771086,0.00907596,0.00857258,0.00689873,0.00667056,0.00662331,0.00424703,0.00647988,0.00609015,0.00863615,0.0065623,0.00625114,0.00720316,0.00599694,0.0108618,0.00395719,0.00432095,0.00515218,0.00842856
1,0.299668,0.000710897,0.0155931,0.00640092,0,0.00724703,0.00788349,0.0138506,0.00963744,0.00530511,0.00927042,0.01007,0.0135211,0.010419,0.00937074,0.0109131,0.011639,0.0106911,0.00771946,0.0123983,0.0144946,0.00950484,0.00899934,0.0117431,0.0126764,0.0107519,0.010561,0.0116911,0.0116259,0.0120517,0.0115063,0.0103452,0.00982676,0.0103503,0.0112393,0.0134018,0.0108506,0.00842114,0.00947377,0.0141693,0.0110194,0.0105801,0.0115269,0.0110757,0.0100126,0.0119553,0.0131722,0.0106404,0.00978464,0.0109236,0.00932307,0.0132587,0.0120853,0.0121883,0.00830035,0.0125092,0.0102392,0.0108871,0.0118191,0.00867745,0.0169595,0.0084517,0.00895797
1,0.266126,0.060748,0.0032647,0.0374062,0.00411832,0.024129,0.00668383,0.00974852,0.0110809,0.00845615,0.00741568,0.00836872,0.00947665,0.00688874,0.0126787,0,0.017771,0.00471391,0.0115736,0.0110736,0.00954452,0.0076699,0.0146264,0.00486091,0.0151538,0.00835083,0.00871778,0.0115021,0.0115636,0.00197869,0.014833,0.00338825,0.0109762,0.00873143,0.00334554,0.0108949,0.0056285,0.00784757,0.0113956,0.00152356,0.0117121,0.00482503,0.00927076,0.0120825,0.00250556,0.0112546,0.0055725,0.00816443,0.0116648,0.00732551,0.00921316,0.00909244,0.00643554,0.00831237,0.00807498,0.0103721,0.00555543,0.0112195,0.00610633,0.0119815,0.00731742,0.00768522,0.00851312
1,0.292295,0.0188035,0.0121374,0.00921927,0.010907,0,0.013674,0.00457512,0.012622,0.00622596,0.0101378,0.0100746,0.00922849,0.0107822,0.00784172,0.00825026,0.00966115,0.00865772,0.0123632,0.00729738,0.013071,0.007531,0.0121776,0.0077105,0.0113977,0.0086482,0.00917503,0.0105841,0.00927119,0.0128962,0.00735226,0.012952,0.00864537,0.0119816,0.0106941,0.00866546,0.0151619,0.00299573,0.0178105,0.00105847,0.0210596,0.00185276,0.0191789,0.00361161,0.0180176,0.0059366,0.0137409,0.00576718,0.0111773,0.00856094,0.0112498,0.0105437,0.00721224,0.0125338,0.00541203,0.0151111,0.00387623,0.0159646,0.00617285,0.0139448,0.0099317,0.0114441,0.0108001
1,0.312114,0.0798021,0.0427532,0.0554109,0.0125366,0.0335949,0.031546,0.0102948,0.0164262,0.0108502,0.010207,0.00498002,0.00813742,0.00580027,0,0.00386179,4.47E-06,0.00878143,0.00643128,0.00751811,0.013656,0.0116105,0.0125525,0.0132832,0.00945809,0.0101803,0.0118299,0.00658076,0.00725448,0.00815333,0.00579009,0.0105822,0.00898869,0.00845313,0.0120317,0.0103233,0.00940764,0.0107567,0.006177,0.00718687,0.00739545,0.00349036,0.00492151,0.00433909,0.00540812,0.00508587,0.00616944,0.00680616,0.00893179,0.00692212,0.0080094,0.00855916,0.00674742,0.00861041,0.00603038,0.00560459,0.00794649,0.00589017,0.00688399,0.00867298,0.00859149,0.0103833,0.0114346
1,0.317938,0.0303679,0.00972564,0,0.0028739,0.0032692,0.00204863,0.000666929,0.00944225,0.00394971,0.00634938,0.00611016,0.00328722,0.00538379,0.00580215,0.00580355,0.00624844,0.00565539,0.00643444,0.00644451,0.00597847,0.00642857,0.00477922,0.00728076,0.00448292,0.00751748,0.00540161,0.00768044,0.00383741,0.00773353,0.00573328,0.004294,0.00597351,0.00615286,0.0074758,0.00550549,0.0071436,0.00610775,0.00807377,0.00435087,0.00901621,0.00396428,0.00830464,0.00431733,0.00885222,0.0039055,0.00839757,0.00381533,0.0101859,0.00117183,0.00943383,0.00634033,0.00393376,0.00832056,0.00397458,0.00671786,0.00654144,0.00437891,0.00790418,0.00249302,0.00954702,0.00721247,0.00526712
1,0.271377,0.0272102,0.00544545,0.00444985,0.00626956,0.00482315,0,0.00308337,0.00454181,0.00429743,0.00420154,0.00444679,0.003417,0.0031622,0.00414953,0.00471977,0.00473079,0.00439483,0.00486159,0.00486266,0.00504508,0.00546203,0.00481049,0.00480997,0.00518237,0.00516356,0.00506706,0.00512129,0.00432967,0.00530488,0.00618296,0.00612658,0.00512083,0.00432806,0.00401814,0.00421584,0.00370652,0.00497109,0.00575651,0.00515944,0.0042406,0.0044388,0.00487409,0.00530391,0.005902,0.00530708,0.00467067,0.00375131,0.00470498,0.00517364,0.00555574,0.00581229,0.00570153,0.00387902,0.00354465,0.00586802,0.0064702,0.00611232,0.00555626,0.00444318,0.0031197,0.00959067,0.00661494
